1690724721;9205;9893
1690724726;15179;12663
1690724731;10662;10075
1690724736;9773;11506
1690724741;104426;23121
1690724746;12606;12369
1690724751;8795;10424
1690724756;17576;15882
1690724761;12295;10592
1690724766;9531;10210
1690724771;194602;46018
1690724776;12212;10834
1690724781;9296;10015
1690724786;13702;11638
1690724791;11798;10202
1690724796;9029;9525
1690724802;104084;39707
1690724807;12123;10317
1690724812;10036;10738
1690724817;13330;11782
1690724822;14213;17728
1690724827;10728;16683
1690724832;193309;51153
1690724837;14681;17812
1690724842;10847;16280
1690724847;12813;10847
1690724852;12588;10585
1690724857;8704;9259
1690724862;102615;29565
1690724867;14402;12316
1690724872;9104;9594
1690724877;12154;10298
1690724882;12497;11535
1690724887;8795;9473
1690724892;15243;12107
1690724897;14119;11799
1690724902;8704;9319
1690724907;12091;10301
1690724912;15684;13637
1690724917;8795;9473
1690724922;14616;14902
1690724927;13570;11920
1690724932;10236;11206
1690724937;12091;10361
1690724942;13128;11691
1690724947;10571;16529
1690724952;16892;18892
1690724957;15774;18759
1690724962;11026;16883
1690724967;14327;17100
1690724972;13626;11622
1690724977;9036;9524
1690724982;15175;18746
1690724987;14314;32573
1690724992;12767;35013
1690724997;17436;38283
1690725002;19657;40753
1690725007;17067;41248
1690725012;27843;84538
1690725017;21503;42427
1690725022;17092;41553
1690725027;20567;49728
1690725032;20804;42221
1690725037;16707;40951
1690725042;22090;42916
1690725047;20823;42279
1690725052;16770;41008
1690725057;20066;42623
1690725062;20912;42076
1690725067;19709;44218
1690725072;35601;189947
1690725077;24805;50685
1690725082;27011;55306
1690725087;22638;49843
1690725092;23330;49021
1690725097;19942;44117
1690725102;22438;42916
1690725107;21280;42321
1690725112;17456;41519
1690725117;19504;41644
1690725122;21758;42794
1690725127;17447;41440
1690725132;28228;182623
1690725137;21391;42573
1690725142;17271;41491
1690725147;20802;42971
1690725152;21987;43856
1690725157;17685;41901
1690725162;22209;42968
1690725167;21600;42772
1690725172;18937;55947
1690725177;19984;42060
1690725182;21510;42675
1690725187;16886;40888
1690725192;28535;183364
1690725197;23258;49612
1690725202;20341;49873
1690725207;22259;49362
1690725212;24084;50227
1690725217;18753;47502
1690725222;24204;44460
1690725227;21463;42454
1690725232;17847;42319
1690725237;22883;45092
1690725242;21190;43076
1690725247;17337;41311
1690725252;29266;183624
1690725257;21349;42367
1690725262;17908;41686
1690725267;20006;42004
1690725272;20409;42464
1690725277;17334;41143
1690725282;21923;42916
1690725287;20375;41812
1690725292;17243;41109
1690725297;19200;41666
1690725302;21127;42315
1690725307;17720;41443
1690725312;26667;181808
1690725317;22458;44444
1690725322;19713;48974
1690725327;21404;49027
1690725332;23393;50154
1690725337;19785;48741
1690725342;22338;43649
1690725347;21211;42644
1690725352;17995;41913
1690725357;18571;41594
1690725362;22609;42648
1690725367;23700;41964
1690725372;25925;181832
1690725377;23023;42697
1690725382;17397;40926
1690725387;17154;41225
1690725392;25822;44933
1690725397;17372;41234
1690725402;20101;42623
1690725407;26157;45769
1690725412;17717;42494
1690725417;17217;41080
1690725422;24100;44298
1690725427;18063;41390
1690725432;25298;181390
1690725437;22356;42403
1690725442;23255;61713
1690725447;19791;48796
1690725452;25451;50369
1690725457;20631;49079
1690725462;21352;48691
1690725467;23286;42951
1690725472;24088;70313
1690725477;16977;41538
1690725482;23201;43078
1690725488;18095;41690
1690725493;24756;181477
1690725498;24901;44914
1690725503;21453;54790
1690725508;17487;41889
1690725513;22427;42648
1690725518;18719;42001
1690725523;18906;41824
1690725528;32753;53155
1690725533;23513;56271
1690725538;16977;41188
1690725543;21760;42425
1690725548;21489;44406
1690725553;24317;180991
1690725558;32335;53233
1690725563;26686;59369
1690725568;18571;48158
1690725573;23403;49808
1690725578;23545;50754
1690725583;21997;50092
1690725588;34211;60002
1690725593;23064;53227
1690725598;17575;42424
1690725603;21098;43289
1690814829;12100;13411
1690814834;14063;11053
1690814839;16044;17927
1690814844;10280;10069
1690814849;14563;14046
1690814854;13447;10893
1690814859;9957;10063
1690814864;14063;10933
1690814869;11977;11617
1690814874;10736;10946
1690814879;17038;13786
1690814884;10821;9984
1690814889;9712;9909
1690814894;17795;14928
1690814899;12436;11444
1690814904;9971;10052
1690814909;15525;13687
1690814914;10942;9962
1690814919;9712;9818
1690814924;14140;12008
1690814929;13217;19137
1690814934;13064;18346
1690814939;15995;18921
1690814944;14000;17771
1690814949;11195;16069
1690814954;12780;10550
1690814959;11641;10462
1690814964;9381;9566
1690814969;13729;11562
1690814974;11544;10428
1690814979;9535;9837
1690814984;13186;10529
1690814989;12665;11650
1690814994;10684;11009
1690814999;13641;11677
1690815004;12001;10502
1690815009;9472;9900
1690815014;14573;11575
1690815019;17031;13385
1690815024;11029;10088
1690815029;13487;11314
1690815034;15348;12244
1690815039;9373;9759
1690815044;15877;11537
1690815049;15316;13818
1690815054;11493;17600
1690815059;15019;18639
1690815064;18288;21663
1690815069;11675;17195
1690815074;14691;11605
1690815079;16431;13539
1690815084;10021;10014
1690815089;12616;11201
1690815094;12629;10449
1690815100;9472;9840
1690815105;13050;11025
1690815110;13230;11026
1690815115;10428;10294
1690815120;13284;11718
1690815125;13249;13226
1690815130;10544;13040
1690815135;11486;10348
1690815140;20840;15102
1690815145;13542;11285
1690815150;11559;13144
1690815155;14005;11045
1690815160;12081;12283
1690815165;12333;11808
1690815170;16865;19143
1690815175;13889;18759
1690815180;14204;18678
1690815185;16264;18401
1690815190;12494;16433
1690815195;11486;11539
1690815200;17435;13676
1690815205;13563;12602
1690815210;12171;11497
1690815215;17260;11618
1690815220;13681;13932
1690815225;10105;10103
1690815230;16905;12634
1690815235;20527;16839
1690815240;10507;10966
1690815245;28282;16946
1690815250;9626;9991
1690815255;11777;11575
1690815260;15311;11540
1690815265;11259;10774
1690815270;10062;10484
1690815275;15277;11410
1690815280;9626;9931
1690815285;9951;10012
1690815290;16533;13684
1690815295;12763;17944
1690815300;11709;17201
1690815305;16899;18227
1690815310;11662;17452
1690815315;11608;16175
1690815320;15445;11555
1690815325;10422;10589
1690815330;8972;9574
1690815335;14957;12008
1690815340;15367;95649
1690815345;10153;9945
1690815350;15316;11379
1690815355;20264;128435
